,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,cluster
251039_020_Vglut1,8,10,15,19,24,31,32,34,35,38,38,36,38,39,35,35,26,22,19,19,21,22,24,20,18,14,12,10,8,6,6,6,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vglut1
251039_033_Vglut1,7,9,18,18,18,21,17,16,16,18,21,21,18,15,16,17,15,11,11,11,12,14,14,13,11,10,10,10,8,8,8,7,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vglut1
234172_021_Crh,8,13,18,25,28,25,19,15,9,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crh
221058_088_Sst,2,4,5,5,7,7,8,9,9,10,10,14,9,9,8,8,8,8,8,9,8,8,8,9,6,6,5,3,3,5,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sst
251039_031_Vglut1,5,5,9,15,20,23,28,26,26,29,27,21,21,13,13,11,11,15,12,10,11,11,6,6,5,6,6,7,6,6,6,7,7,8,8,8,9,7,8,8,7,7,10,10,10,10,8,6,6,4,4,4,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vglut1
221058_113_Sst,7,3,3,6,7,8,10,15,17,19,22,20,23,25,22,19,21,19,20,17,18,15,19,11,12,10,7,6,7,4,5,4,4,9,5,5,3,3,3,2,2,2,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sst
251034_003_Vglut1,6,6,7,13,17,26,27,28,30,31,30,28,27,31,24,23,21,21,18,15,15,12,8,8,6,6,8,8,8,7,5,4,4,4,5,3,3,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vglut1
251034_004_Vglut1,9,12,17,26,30,32,37,34,35,36,37,37,37,37,29,25,23,13,12,11,9,6,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vglut1
234172_034_Crh,3,4,4,4,4,7,7,7,7,8,11,9,9,9,9,9,8,6,6,6,6,6,6,6,8,8,8,8,5,5,5,5,4,4,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Crh
251039_022_Vglut1,8,9,12,19,26,37,38,42,45,45,49,41,35,31,27,22,19,18,15,13,12,11,10,7,9,14,9,9,9,10,11,11,11,11,10,8,7,6,5,4,4,4,4,5,4,5,5,6,5,5,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vglut1
